player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Wajdi Kechrida,DF,Tunisia,27-032,1995,1.2,3,3,3,0,0,1,1,100.0,0,3,1,2,0,3,4,0
Walid Cheddira,FW,Morocco,24-319,1998,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Walker Zimmerman,DF,United States,29-202,1993,3.1,3,2,3,0,0,3,4,75.0,1,4,3,1,4,7,15,0
Wataru Endo,MF,Japan,29-301,1993,3.4,8,4,4,4,0,3,5,60.0,2,8,3,5,3,11,6,0
Wayne Hennessey,GK,Wales,35-317,1987,1.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Weston McKennie,MF,United States,24-101,1998,3.0,2,1,1,0,1,1,4,25.0,3,4,0,4,0,2,5,0
William Carvalho,MF,Portugal,30-244,1992,2.4,6,5,4,2,0,1,2,50.0,1,2,0,2,0,6,3,0
William Saliba,DF,France,21-258,2001,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Wojciech Szczęsny,GK,Poland,32-233,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Wout Weghorst,FW,Netherlands,30-122,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wéverton,GK,Brazil,34-359,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Xavi Simons,FW,Netherlands,19-230,2003,0.1,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Xherdan Shaqiri,FW,Switzerland,31-058,1991,2.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Yahya Attiat Allah,DF,Morocco,27-280,1995,1.0,2,1,2,0,0,2,4,50.0,2,2,0,2,0,2,8,0
Yahya Jabrane,MF,Morocco,31-172,1991,0.1,,0,,,,,,,,,,,0,,,
Yann Sommer,GK,Switzerland,33-355,1988,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Yannick Carrasco,FW,Belgium,29-094,1993,1.3,5,4,4,0,1,5,7,71.4,2,2,0,2,1,6,4,0
Yasser Al-Shahrani,DF,Saudi Arabia,30-196,1992,1.0,3,1,0,3,0,1,1,100.0,0,0,0,0,6,9,6,0
Yassine Bounou,GK,Morocco,31-246,1991,3.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Yassine Meriah,DF,Tunisia,29-158,1993,3.0,4,2,3,0,1,3,8,37.5,5,5,0,5,1,5,20,0
Yeltsin Tejeda,MF,Costa Rica,30-265,1992,3.0,4,2,3,1,0,1,6,16.7,5,7,5,2,1,5,7,0
Youri Tielemans,MF,Belgium,25-214,1997,1.1,3,1,1,2,0,1,1,100.0,0,4,1,3,2,5,0,0
Youssef En-Nesyri,FW,Morocco,25-189,1997,3.6,2,1,1,1,0,0,1,0.0,1,5,0,5,0,2,7,0
Youssef Msakni,MF,Tunisia,32-040,1990,1.9,3,1,1,2,0,0,1,0.0,1,2,1,1,0,3,1,0
Youssouf Fofana,MF,France,23-331,1999,1.2,3,2,1,2,0,0,1,0.0,1,2,0,2,1,4,0,0
Youssouf Sabaly,DF,Senegal,29-277,1993,4.0,6,6,4,1,1,3,5,60.0,2,1,0,1,4,10,9,0
Youssoufa Moukoko,FW,Germany,18-017,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Youstin Salas,DF,Costa Rica,26-173,1996,0.5,5,1,4,1,0,3,7,42.9,4,3,1,2,0,5,1,0
Yuki Soma,FW,Japan,25-285,1997,0.9,2,0,0,2,0,0,1,0.0,1,0,0,0,0,2,0,0
Yunus Musah,MF,United States,20-008,2002,3.8,8,6,4,4,0,1,3,33.3,2,7,0,7,2,10,1,0
Yuto Nagatomo,MF,Japan,36-086,1986,2.3,4,2,1,2,1,1,1,100.0,0,2,0,2,0,4,3,0
Zakaria Aboukhlal,MF,Morocco,22-292,2000,0.5,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,1,0
Álvaro Morata,FW,Spain,30-045,1992,2.1,1,1,1,0,0,1,2,50.0,1,2,1,1,0,1,2,0
Álvaro Zamora,MF,Costa Rica,20-273,2002,0.3,2,0,0,1,1,1,1,100.0,0,0,0,0,1,3,0,0
Ángel Di María,MF,Argentina,34-296,1988,2.4,3,1,2,0,1,1,1,100.0,0,2,0,2,0,3,0,0
Ángelo Preciado,DF,Ecuador,24-292,1998,2.9,7,5,3,3,1,2,4,50.0,2,2,0,2,6,13,4,0
Éder Militão,DF,Brazil,24-323,1998,2.7,4,3,4,0,0,2,3,66.7,1,1,0,1,1,5,3,0
Óscar Duarte,DF,Costa Rica,33-187,1989,3.0,4,2,4,0,0,2,2,100.0,0,3,1,2,6,10,15,0
İlkay Gündoğan,MF,Germany,32-044,1990,2.1,3,1,1,2,0,0,1,0.0,1,2,0,2,1,4,1,0
